* 42 --- 7/21/2015 10:56:45 AM --- 1
-6.585232246025, 0, 37.8830981210705, 37.8830981210705, , , , , 
-6.57980890088296, 0, 37.8504495833154, 37.8504495833154, , , , , 
-6.58487978966827, 0, 37.880976333803, 37.880976333803, , , , , 
-6.5851147797046, 0, 37.8823909738217, 37.8823909738217, , , , , 
* 42 --- 7/21/2015 11:13:04 AM --- 2
-6.58429197947918, 0, 37.8774377164647, 37.8774377164647, , , , , 
-6.58122762190097, 0, 37.8589902838438, 37.8589902838438, , , , , 
-6.58346823975408, 0, 37.8724788033195, 37.8724788033195, , , , , 
-6.58382138624321, 0, 37.8746047451842, 37.8746047451842, , , , , 
